id,drug_name,drug_id,created_at,updated_at,quantity,price,invoice_id,deleted_at,discount
3,Tab Scipride 50mg,27,2018-08-17 15:59:32,2018-08-20 20:20:53,60,10.2,3,,15
4,Cap Rezz -20,19,2018-08-17 15:59:32,2018-09-27 21:30:46,30,15,3,,23.5
5,Tab  Itofix SR 150mg,15,2018-08-17 15:59:32,2018-09-27 21:30:47,30,31.6,3,,23.5
6,Tab SimGesic,18,2018-08-17 16:57:09,2018-09-27 21:30:47,10,9.5,4,,23.5
7,Tab Glusimet 50 mg / 1000 mg,11,2018-08-17 16:57:09,2018-08-27 18:49:23,7,24.43,4,,23.5
8,Tab Cilavit D 200000 IU,8,2018-08-17 17:22:41,2018-09-27 21:30:47,1,175,5,,23.5
9,Cap Colonil MR 200mg,14,2018-08-17 17:22:41,2018-09-27 21:30:47,30,24.1,5,,23.5
11,Cap Edwin D,43,2018-08-24 15:07:48,2018-09-27 21:30:47,3,230,15,,23.5
13,Cap Colonil MR 200mg,14,2018-08-24 15:46:58,2018-09-27 21:30:47,10,24.1,17,,23.5
14,Tab  Itofix SR 150mg,15,2018-08-24 15:46:58,2018-09-27 21:30:47,10,31.6,17,,23.5
15,Cap ES Novex 40mg,9,2018-08-24 15:46:58,2018-09-27 21:30:47,7,14.14,17,,23.5
17,Tab  Itofix SR 150mg,15,2018-08-24 16:28:01,2018-09-27 21:30:47,10,31.6,19,,23.5
18,Cap Solus 40mg,34,2018-08-24 16:28:01,2018-11-06 9:10:41,14,22,19,,17.55
19,Cap Rezz -20,19,2018-08-25 9:23:25,2018-09-27 21:30:47,10,15,20,,23.5
20,Tab Scipride 50mg,27,2018-08-25 9:23:25,2018-08-25 9:23:25,10,10.2,20,,15
21,Cap Colonil MR 200mg,14,2018-08-25 9:23:25,2018-09-27 21:30:47,10,24.1,20,,23.5
22,Tab  Oniron 8mg,17,2018-08-25 9:25:07,2018-09-27 21:30:47,20,25,21,,23.5
23,Tab  Itofix SR 150mg,15,2018-08-25 9:27:41,2018-09-27 21:30:47,20,31.6,22,,23.5
24,Cap ES Novex 40mg,9,2018-08-25 9:27:41,2018-09-27 21:30:47,21,14.14,22,,23.5
25,Cap Colonil MR 200mg,14,2018-08-25 9:27:41,2018-09-27 21:30:47,40,24.1,22,,23.5
26,Tab B-Fit 20mg,44,2018-08-25 9:27:41,2018-09-27 21:30:47,10,6.5,22,,23.5
27,Tab  Itofix SR 150mg,15,2018-08-25 9:30:49,2018-09-27 21:30:47,10,31.6,23,,23.5
28,Tab  Oniron 8mg,17,2018-08-25 9:30:49,2018-09-27 21:30:47,20,25,23,,23.5
